asset,works_category_level_1,item,quantity,cf_name,input_unit,A5,asset_lifetime,replacements_during_lifetime,no_granular_data_A1_A3,no_granular_data_A4,no_granular_data_B2,no_granular_data_B4
hs_viaduct,Steel,Bearings,174.21365,Steel - General - Virgin,kg,0,120,0,,,,
hs_viaduct,Steel,Coffer dams,352.23249,Steel - General - Virgin,kg,0,120,0,,,,
hs_viaduct,Steel,Diversion (temporary works),229.22849,Steel - Section,kg,0,120,0,,,,
hs_viaduct,Steel,Jetty (temporary works),1240.46493,Steel - Section,kg,0,120,0,,,,
hs_viaduct,Steel,Construction Compounds (temporary works),164.27,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_viaduct,Steel,Fencing,60.67525,Steel - Section,kg,0,30,3,,,,
hs_viaduct,Other,hs_Viaduct,,no_granular_data,m2,,,,34,9.52,,
hs_line_viaduct_bu,Highways,Viaduct Access Tracks and Footpaths,679.94,"Fill, aggregate and sand General mixture",kg,6.47,30,3,,,,
hs_line_viaduct_bu,Highways,Concrete kerbing,0.07297,Kerb Pre-cast concrete 125x305mm,m,0.00018,30,3,,,,
hs_line_viaduct_bu,Highways,Limestone dust,8.41335,Limestone - General,kg,0.00006,30,3,,,,
hs_line_viaduct_bu,Highways,Kerbing,0.25193,Grasscrete,m2,0.00155,30,3,,,,
hs_line_viaduct_bu,Highways,Imported fill,1505.04,"Fill, aggregate and sand General mixture",kg,14.31,30,3,,,,
hs_line_viaduct_bu,Drainage,Geotextiles,13.45994,Polypropylene (PP),kg,0.0136,120,0,,,,
hs_line_viaduct_bu,Drainage,HDPE Ridgidrain Perforated Pipe,12.72374,HDPE - Pipe,kg,0.00644,120,0,,,,
hs_line_viaduct_bu,Drainage,PVC Drainage Pipes,5.1241,PVC - Pipe,kg,0.00332,120,0,,,,
hs_line_viaduct_bu,Drainage,UPVC Membrane,3.23039,UPVC - Film,kg,0.00205,120,0,,,,
hs_line_viaduct_bu,Drainage,Drainage Stone (m3),1236.61,"Fill, aggregate and sand General mixture",kg,6.71,120,0,,,,
hs_line_viaduct_bu,Noise Barriers,Acrylic,59.96439,PMMA - Sheet,kg,0.05861,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Rockwool,8.25236,Insulation - Rockwool (Stonewool),kg,0.00204,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Steel Frame,312.95178,Steel - Section,kg,0.16378,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Longitudinal Steel Support Beam,156.88353,Steel - Section,kg,0.0821,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Vertical Steel Support Columns,369.67211,Steel - Section,kg,0.19346,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Vertical Steel Support Columns,10.80496,Steel - Section,kg,0.00565,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Absorptive top edge - beam,954.57864,Steel - Section,kg,0.49957,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Absorbative top edge - resonator,6.96499,Polypropylene (PP),kg,0.00642,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Steel Cladding on Acrylic Wall,35.05712,Polypropylene (PP),kg,0.0323,30,3,,,,
hs_line_viaduct_bu,Noise Barriers,Rubber flab,45.14688,Rubber - General,kg,0.02679,30,3,,,,
hs_line_viaduct_bu,Other,Temporary works - Viaduct Hardstand,56201.78,"Fill, aggregate and sand General mixture",kg,304.94,120,0,,,,
hs_line_viaduct_bu,Concrete,Piling,16.0908,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.19444,120,0,,,,
hs_line_viaduct_bu,Concrete,Pile Caps,3.79407,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.0832,120,0,,,,
hs_line_viaduct_bu,Concrete,Pier,4.66157,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.05087,120,0,,,,
hs_line_viaduct_bu,Concrete,Abutments,0.08412,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.00294,120,0,,,,
hs_line_viaduct_bu,Concrete,Precast Segments,24.45223,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.35632,120,0,,,,
hs_line_viaduct_bu,Concrete,Equipment,11.56558,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.08682,120,0,,,,
hs_line_viaduct_bu,Concrete,Diversion (temporary works),0.05271,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.00039,120,0,,,,
hs_line_viaduct_bu,Concrete,Jetty (temporary works),25.18144,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.231,120,0,,,,
hs_line_viaduct_bu,Concrete,Construction Compounds (temporary works),3.23763,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.02971,120,0,,,,
hs_line_viaduct_bu,Concrete,Fencing,0.02726,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.00057,30,3,,,,
hs_line_viaduct_bu,Steel,Piling,2128.1,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Pile Caps,886.82,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Pier,687.79,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Abutments,29.97,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Precast Segments,5448,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Equipment,586.82,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Bearings,174.21365,Steel - General - Virgin,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Coffer dams,352.23249,Steel - General - Virgin,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Diversion (temporary works),229.22849,Steel - Section,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Jetty (temporary works),1240.46493,Steel - Section,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Construction Compounds (temporary works),164.27,Reinforcement steel Steel bar and rod,kg,0,120,0,,,,
hs_line_viaduct_bu,Steel,Fencing,60.67525,Steel - Section,kg,0,30,3,,,,
hs_rail_underpass,Other,hs_Rail_Underpass,1,no_granular_data,number,304.5,,,725,942.5,,
hs_culvert,other,hs_culvert,1,no_granular_data,number,,,,1050,682,,
hs_culvert_bu,Drainage,Drainage Stone (m3),38.43,"Fill, aggregate and sand General mixture",m3,0.41703,120,0,,,,
hs_culvert_bu,Noise barriers,PLEXIGLASS Soundstop XT Glass Noise Barrier,17.00025,"Glass - Single Pane, 8mm",m3,12.61112,30,3,,,,
hs_culvert_bu,Concrete,Culvert,932,Ready mix concrete  25% GGBS replacement - C40/50,m3,14.20222,120,0,,,,
hs_shaft_bu,,Shotchrete lining 25-30 cm,28290,Reinforcement steel Steel bar and rod,kg,74.94021,,,,,,
hs_shaft_bu,,Shotchrete lining 30-40 cm,84180,Reinforcement steel Steel bar and rod,kg,222.99282,,,,,,
hs_shaft_bu,,Crosspassage,136892.143,Reinforcement steel Steel bar and rod,kg,362.62729,,,,,,
hs_shaft_bu,,"Concrete ring 1,00 x 1,00 m",7840,Reinforcement steel Steel bar and rod,kg,0.07456,,,,,,
hs_shaft_bu,,Metal work (Grillagge),1100,Reinforcement steel Steel bar and rod,kg,0.01046,,,,,,
hs_shaft_bu,,Metal work (Grillagge),3000,Reinforcement steel Steel bar and rod,kg,0.02853,,,,,,
hs_shaft_bu,,Reinforcement,116500,Reinforcement steel Steel bar and rod,kg,1.10792,,,,,,
hs_shaft_bu,,Contigous piling (Drop 2),597155.8425,Reinforcement steel Steel bar and rod,kg,5.67895,,,,,,
hs_shaft_bu,,Headhouse construction and finishing works,630000,Reinforcement steel Steel bar and rod,kg,5.9913,,,,,,
hs_shaft_bu,,Reinforcement,1044000,Reinforcement steel Steel bar and rod,kg,9.92844,,,,,,
hs_shaft_bu,,Temporary TBM launch shaft,915840,Reinforcement steel Steel bar and rod,kg,8.70964,,,,,,
hs_shaft_bu,,Compensation shaft 1,206679.6,Reinforcement steel Steel bar and rod,kg,1.96552,,,,,,
hs_shaft_bu,,Compensation shaft 2,172725.8,Reinforcement steel Steel bar and rod,kg,1.64262,,,,,,
hs_shaft_bu,,"Concrete ring 1,00 x 1,00 m",8.4,Steel - Section,m3,0.21897,,,,,,
hs_shaft_bu,,Formwork for pump sump,1.62,Steel - Section,m3,0.04223,,,,,,
hs_shaft_bu,,Backfill of launch shaft and ground reinstate,12000,"Fill, aggregate and sand Expanded foamed glass",m3,119.088,,,,,,
hs_shaft_bu,,Shotchrete lining 25-30 cm,707.25,Ready mix concrete  25% GGBS replacement - C40/50,m3,145.12883,,,,,,
hs_shaft_bu,,Shotchrete lining 30-40 cm,2104.5,Ready mix concrete  25% GGBS replacement - C40/50,m3,431.84677,,,,,,
hs_shaft_bu,,Crosspassage,3422.30358,Ready mix concrete  25% GGBS replacement - C40/50,m3,702.26217,,,,,,
hs_shaft_bu,,Compensation shaft 1,10333.98,Ready mix concrete  25% GGBS replacement - C40/50,m3,2120.54923,,,,,,
hs_shaft_bu,,Compensation shaft 2,8636.29,Ready mix concrete  25% GGBS replacement - C40/50,m3,1772.18053,,,,,,
hs_shaft_bu,,"Concrete ring 1,00 x 1,00 m",112,Pre-cast Concrete General concrete,m3,2.03745,,,,,,
hs_shaft_bu,,First stage concrete,1120,Pre-cast Concrete General concrete,m3,20.37448,,,,,,
hs_shaft_bu,,Invert concrete,3200,Pre-cast Concrete General concrete,m3,58.2128,,,,,,
hs_shaft_bu,,Contigous piling,4976.29869,Pre-cast Concrete General concrete,m3,176.5118,,,,,,
hs_shaft_bu,,Headhouse construction and finishing works (Drop 2),6300,Pre-cast Concrete General concrete,m3,114.60645,,,,,,
hs_shaft_bu,,Pile concrete,7515,Pre-cast Concrete General concrete,m3,266.56081,,,,,,
hs_shaft_bu,,Pile drilling 2100  mm - 2400 mm,61072.56119,Pre-cast Concrete General concrete,m3,2166.27428,,,,,,
hs_shaft_bu,,Temporary TBM launch shaft,7632,Pre-cast Concrete General concrete,m3,138.83753,,,,,,
hs_shaft_bu,,Gravel layer 30 cm,2879100,"Fill, aggregate and sand General mixture",kg,7.82683,,,,,,
hs_track_double,Other,hs_track_double,1,no_granular_data,m,1060.96,,,2090,64.32,,
hs_mitigation_earthworks,Other,hs_mitigation_earthworks,1,no_granular_data,number,,,,,,,
hs_retained_cutting_bu,,Barretes for west retaining wall,2798402.198,Reinforcement steel Steel bar and rod,kg,13.3064,,,,,,
hs_retained_cutting_bu,,Base slab,1800000,Reinforcement steel Steel bar and rod,kg,8.559,,,,,,
hs_retained_cutting_bu,,Contiguous piling for east dividing wall,2633754.201,Reinforcement steel Steel bar and rod,kg,12.5235,,,,,,
hs_retained_cutting_bu,,Tension piles for base slab uplift,15064581.06,Reinforcement steel Steel bar and rod,kg,71.63208,,,,,,
hs_retained_cutting_bu,,Barretes for west retaining wall,23320.01831,Pre-cast Concrete General concrete,m3,212.11306,,,,,,
hs_retained_cutting_bu,,Base slab,15000,Pre-cast Concrete General concrete,m3,136.43625,,,,,,
hs_retained_cutting_bu,,Contiguous piling for east dividing wall,21947.95168,Pre-cast Concrete General concrete,m3,389.25241,,,,,,
hs_retained_cutting_bu,,Tension piles for base slab uplift,125538.1755,Pre-cast Concrete General concrete,m3,2226.45093,,,,,,
hs_underbridge_bu,,Acoustic Barrier,4588.8,Timber - Wood I-Beam - Exc. CS,kg,0.69486,,,,,,
hs_underbridge_bu,,Formwork for plane,11303.8848,Timber - Wood I-Beam - Exc. CS,kg,0.93734,,,,,,
hs_underbridge_bu,,Formwork (for Wailings),60955.2,Timber - Wood I-Beam - Exc. CS,kg,2.29605,,,,,,
hs_underbridge_bu,,Gate in Accoustic Barrier,128,Timber - Wood I-Beam - Exc. CS,kg,0.00969,,,,,,
hs_underbridge_bu,,Protection Barrier,710.4,Timber - Wood I-Beam - Exc. CS,kg,0.05379,,,,,,
hs_underbridge_bu,,Internal Site Moves,3107.14286,Steel - Section,kg,0.07949,,,,,,
hs_underbridge_bu,,Mobilisation (Installation &Extraction),7578.57143,Steel - Section,kg,0.19389,,,,,,
hs_underbridge_bu,,Sheet piles,41580,Steel - Section,kg,1.06376,,,,,,
hs_underbridge_bu,,Reinforcement Steel and bar rod,318500,Reinforcement steel Steel bar and rod,kg,5.29786,,,,,,
hs_underbridge_bu,,Reinforcement Steel and bar rod,257350,Reinforcement steel Steel bar and rod,kg,2.4474,,,,,,
hs_underbridge_bu,,Drainage - Access Road,12.96,Reinforcement steel Steel bar and rod,kg,0.00438,,,,,,
hs_underbridge_bu,,Manholes,7.2,Plastic - General,kg,0.00243,,,,,,
hs_underbridge_bu,,Formwork for plane,21935.5,Plastic - General,kg,0.44417,,,,,,
hs_underbridge_bu,,Formwork (for Wailings),118275,Lubricants,kg,2.39494,,,,,,
hs_underbridge_bu,,Bridge Beams - 20m Long,296.26667,Lubricants,m3,1.14273,,,,,,
hs_underbridge_bu,,Blinding - Provision & Placing,54,Pre-cast Concrete General concrete,m3,0.98234,,,,,,
hs_underbridge_bu,,Concrete (for Wailings),1694.25,Pre-cast Concrete General concrete,m3,22.69996,,,,,,
hs_underbridge_bu,,Piling Mat,2413400,"Fill, aggregate and sand General mixture",kg,6.56083,,,,,,
hs_tunnel_portal_bu,Highways,Footpaths and access roads,159720,"Fill, aggregate and sand General mixture",kg,1518.87,30,3,,,,
hs_tunnel_portal_bu,Highways,Footpaths and access roads,211.5,"Fill, aggregate and sand General mixture",m3,13.55157,30,3,,,,
hs_tunnel_portal_bu,Highways,Asphalt Access Road,82.81,Asphalt  General Asphalt,m3,2.97566,30,3,,,,
hs_tunnel_portal_bu,Highways,Pavement sub-base,352.5,Geotextiles Polypropylene geotextile / matting,m3,56.99699,30,3,,,,
hs_tunnel_portal_bu,Highways,Concrete kerbing,124.00125,Kerb Pre-cast concrete 125x305mm,m3,7.94521,30,3,,,,
hs_tunnel_portal_bu,Highways,Sand base for concrete kerbing,70.5,Sand - General,m3,0.32016,30,3,,,,
hs_tunnel_portal_bu,Other,UPVC Sheet Linings Membrane,2.85456,UPVC Membrane,m3,1.79853,30,3,,,,
hs_tunnel_portal_bu,Other,Portal Building Aluminium Cladding,1.18235,Aluminium - General,m3,4.28537,30,3,,,,
hs_tunnel_portal_bu,Other,Headwall filling recycled aggregate,19836.82,Aggregates and Sand - Recycled - Without Heat Treatment,m3,517.12209,120,0,,,,
hs_tunnel_portal_bu,Other,Portal Building Insulation,192.26,Insulation - Rockwool (Stonewool),m3,12.35386,30,3,,,,
hs_tunnel_portal_bu,Concrete,Portal,30800,Ready mix concrete  25% GGBS replacement - C40/50,m3,469.34385,120,0,,,,
hs_tunnel_portal_bu,Concrete,Fencing,3.32223,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.05063,30,3,,,,
hs_overbridge_bu,,Fencing - Timber post & rails,178000,Timber - Wood I-Beam - Exc. CS,kg,290,,,,,,
hs_overbridge_bu,,Formwork plane horizontal Width: >1.22m,8298.72,Timber - Wood I-Beam - Exc. CS,kg,312.59453,,,,,,
hs_overbridge_bu,,Formwork (for Wailings),49400.64,Timber - Wood I-Beam - Exc. CS,kg,1860.81343,,,,,,
hs_overbridge_bu,,Vehicle Barrier,1305.6,Timber - Wood I-Beam - Exc. CS,kg,98.84995,,,,,,
hs_overbridge_bu,,Formwork plane horizontal Width: >1.22m,22472.64,Timber - Wood I-Beam - Exc. CS,kg,846.49491,,,,,,
hs_overbridge_bu,,Formwork (for Wailings),50869.44,Timber - Wood I-Beam - Exc. CS,kg,1916.13989,,,,,,
hs_overbridge_bu,,Reinforcement,207500,Reinforcement steel Steel bar and rod,kg,5308.5555,,,,,,
hs_overbridge_bu,,Reinforcement,200000,Reinforcement steel Steel bar and rod,kg,5116.68,,,,,,
hs_overbridge_bu,,Reinforcement,167660,Reinforcement steel Steel bar and rod,kg,1594.4466,,,,,,
hs_overbridge_bu,,dia 750mm,14899.2,Reinforcement steel Steel bar and rod,kg,141.69139,,,,,,
hs_overbridge_bu,,Reinforcement,161600,Reinforcement steel Steel bar and rod,kg,1536.816,,,,,,
hs_overbridge_bu,,Formwork Width: >1.22m,16102.5,Lubricants,kg,326.05791,,,,,,
hs_overbridge_bu,,Formwork (for Wailings),95855,Lubricants,kg,1940.95831,,,,,,
hs_overbridge_bu,,Formwork Width: >1.22m,43605,Lubricants,kg,882.95328,,,,,,
hs_overbridge_bu,,Formwork (for Wailings),98705,Lubricants,kg,1998.66767,,,,,,
hs_overbridge_bu,,Bridge Beams,640,Pre-cast Concrete General concrete,m3,2468.54336,,,,,,
hs_overbridge_bu,,Blinding - Provision & Placing,22.92,Pre-cast Concrete General concrete,m3,416.94918,,,,,,
hs_overbridge_bu,,Concrete (for Wailings),1093,Pre-cast Concrete General concrete,m3,19883.3095,,,,,,
hs_overbridge_bu,,Blinding - Provision & Placing,13.2,Pre-cast Concrete General concrete,m3,240.1278,,,,,,
hs_overbridge_bu,,Concrete (for Wailings),1049,Pre-cast Concrete General concrete,m3,19082.8835,,,,,,
hs_overbridge_bu,,dia 750mm,124.16,Pre-cast Concrete General concrete,m3,2258.65664,,,,,,
hs_overbridge_bu,,Piling Mat,1265000,"Fill, aggregate and sand General mixture",kg,3438.9025,,,,,,
hs_overbridge_bu,,Piling Mat,715000,"Fill, aggregate and sand General mixture",kg,1943.7275,,,,,,
hs_mined_tunnel_bu,,Waterproofing,1231.19403,Ready mix concrete  25% GGBS replacement - C40/50,m2,0.92167,,,,,,
hs_mined_tunnel_bu,,Waterproofing,1260.29851,Ready mix concrete  25% GGBS replacement - C40/50,m2,0.94346,,,,,,
hs_mined_tunnel_bu,,Formwork plane horizontal Width: >1.22m,584.59701,Timber - Wood I-Beam - Exc. CS,kg,0.04404,,,,,,
hs_mined_tunnel_bu,,Formwork (for Wailings),3507.58209,Timber - Wood I-Beam - Exc. CS,kg,0.52849,,,,,,
hs_mined_tunnel_bu,,Tunelling sliding formwork,29850.74627,Steel - Section,kg,0.76373,,,,,,
hs_mined_tunnel_bu,,Sheet piles,8258.20896,Reinforcement steel Steel bar and rod,kg,0.42255,,,,,,
hs_mined_tunnel_bu,,SCL Lining (assumed 500mm thick),5785.07463,Reinforcement steel Steel bar and rod,kg,15.32466,,,,,,
hs_mined_tunnel_bu,,SCL,28292.53731,Reinforcement steel Steel bar and rod,kg,74.94693,,,,,,
hs_mined_tunnel_bu,,SCL - Material(250mm Thick Secondary &Final),5976.1194,Reinforcement steel Steel bar and rod,kg,15.83074,,,,,,
hs_mined_tunnel_bu,,SCL,29932.83582,Reinforcement steel Steel bar and rod,kg,79.29208,,,,,,
hs_mined_tunnel_bu,,SCL - Material(250mm Thick Secondary &Final),5968.65672,Reinforcement steel Steel bar and rod,kg,15.81097,,,,,,
hs_mined_tunnel_bu,,Reinforcement with steel bars,15671.64179,Reinforcement steel Steel bar and rod,kg,0.80187,,,,,,
hs_mined_tunnel_bu,,Reinforcement with steel bars,12662.68657,Reinforcement steel Steel bar and rod,kg,0.12042,,,,,,
hs_mined_tunnel_bu,,SCL Lining (assumed 500mm thick),289.25373,Polypropylene (PP),kg,0.08943,,,,,,
hs_mined_tunnel_bu,,Formwork plane horizontal Width: >1.22m,1134.32836,Lubricants,kg,0.04594,,,,,,
hs_mined_tunnel_bu,,Formwork (for Wailings),6805.97015,Lubricants,kg,0.55125,,,,,,
hs_mined_tunnel_bu,,SCL Plant,48507.46269,Gas Oil,l,173.85075,,,,,,
hs_mined_tunnel_bu,,Tunnelling emissions,186567.1642,Electricity,kwh,57.08955,,,,,,
hs_mined_tunnel_bu,,SCL Lining (assumed 500mm thick),144.62687,Ready mix concrete  25% GGBS replacement - C40/50,m3,29.67766,,,,,,
hs_mined_tunnel_bu,,SCL,808.35821,Ready mix concrete  25% GGBS replacement - C40/50,m3,414.69099,,,,,,
hs_mined_tunnel_bu,,SCL,855.22388,Ready mix concrete  25% GGBS replacement - C40/50,m3,438.73327,,,,,,
hs_mined_tunnel_bu,,Concrete (for Wailings),103.28358,Ready mix concrete  25% GGBS replacement - C40/50,m3,1.87888,,,,,,
hs_mined_tunnel_bu,,Mass Fill Concrete,46.34328,Ready mix concrete  25% GGBS replacement - C40/50,m3,0.84305,,,,,,
hs_mined_tunnel_bu,,SlipForm Concrete,40.59701,Pre-cast Concrete General concrete,m3,0.73852,,,,,,
hs_mined_tunnel_bu,,SCL - Material(250mm Thick Secondary &Final),335.8209,Pre-cast Concrete General concrete,m3,6.10909,,,,,,
hs_mined_tunnel_bu,,Additional mass concrte: 1st stage for inverts & walkways,744.85075,Pre-cast Concrete General concrete,m3,13.54995,,,,,,
hs_mined_tunnel_bu,,Mass Fill Concrete,46.34328,Pre-cast Concrete General concrete,m3,0.84305,,,,,,
hs_mined_tunnel_bu,,SlipForm Concrete,40.59701,Pre-cast Concrete General concrete,m3,0.73852,,,,,,
hs_mined_tunnel_bu,,SCL - Material(250mm Thick Secondary &Final),335.8209,Pre-cast Concrete General concrete,m3,6.10909,,,,,,
hs_boxstructure_bu,,Blockwork Walls,108610.56,Timber - Wood I-Beam - Exc. CS,kg,8.22315,,,,,,
hs_boxstructure_bu,,External - Double,12480,Timber - Wood I-Beam - Exc. CS,kg,0.94489,,,,,,
hs_boxstructure_bu,,Floor Finishes,8163.84,Timber - Wood I-Beam - Exc. CS,kg,0.6181,,,,,,
hs_boxstructure_bu,,Formwork - Vertical,338876.64,Timber - Wood I-Beam - Exc. CS,kg,12.76474,,,,,,
hs_boxstructure_bu,,Internal - Double,9216,Timber - Wood I-Beam - Exc. CS,kg,0.69776,,,,,,
hs_boxstructure_bu,,Suspended ceilings,12245.76,Timber - Wood I-Beam - Exc. CS,kg,0.23064,,,,,,
hs_boxstructure_bu,,Cladding,9358.66,Steel - Section,kg,0.23943,,,,,,
hs_boxstructure_bu,,HD Bolts(assumed in 4nr bolts perassembly),4293.33333,Steel - Section,kg,0.21968,,,,,,
hs_boxstructure_bu,,Structural Steel - Headhouse,784000,Steel - Section,kg,40.11477,,,,,,
hs_boxstructure_bu,,Reinforcement,4317130,Reinforcement steel Steel bar and rod,kg,110.44686,,,,,,
hs_boxstructure_bu,,Diaphragm Wall,5998692.541,Reinforcement steel Steel bar and rod,kg,57.04757,,,,,,
hs_boxstructure_bu,,Reinforcement,3488240,Reinforcement steel Steel bar and rod,kg,33.17316,,,,,,
hs_boxstructure_bu,,ZP,3144443.436,Reinforcement steel Steel bar and rod,kg,29.90366,,,,,,
hs_boxstructure_bu,,Drainage - Access Road,54,Plastic - General,kg,0.01824,,,,,,
hs_boxstructure_bu,,Gulleys,10.512,Plastic - General,kg,0.00355,,,,,,
hs_boxstructure_bu,,Manholes,14.4,Plastic - General,kg,0.00487,,,,,,
